Measure,Measure Unit,san_diego_q1_2015,benchmark_q1_2015,10th_q1_2015,50th_q1_2015,90th_q1_2015,san_diego_q2_2015,benchmark_q2_2015,10th_q2_2015,50th_q2_2015,90th_q2_2015,san_diego_q3_2015,benchmark_q3_2015,10th_q3_2015,50th_q3_2015,90th_q3_2015,san_diego_q4_2015,benchmark_q4_2015,10th_q4_2015,50th_q4_2015,90th_q4_2015,san_diego_q1_2016,benchmark_q1_2016,10th_q1_2016,50th_q1_2016,90th_q1_2016,san_diego_q2_2016,benchmark_q2_2016,10th_q2_2016,50th_q2_2016,90th_q2_2016,san_diego_q3_2016,benchmark_q3_2016,10th_q3_2016,50th_q3_2016,90th_q3_2016,san_diego_q4_2016,benchmark_q4_2016,10th_q4_2016,50th_q4_2016,90th_q4_2016,san_diego_q1_2017,benchmark_q1_2017,10th_q1_2017,50th_q1_2017,90th_q1_2017,san_diego_q2_2017,benchmark_q2_2017,10th_q2_2017,50th_q2_2017,90th_q2_2017,san_diego_q3_2017,benchmark_q3_2017,10th_q3_2017,50th_q3_2017,90th_q3_2017,san_diego_q4_2017,benchmark_q4_2017,10th_q4_2017,50th_q4_2017,90th_q4_2017,san_diego_q1_2018,benchmark_q1_2018,10th_q1_2018,50th_q1_2018,90th_q1_2018,san_diego_q2_2018,benchmark_q2_2018,10th_q2_2018,50th_q2_2018,90th_q2_2018,san_diego_q3_2018,benchmark_q3_2018,10th_q3_2018,50th_q3_2018,90th_q3_2018,san_diego_q4_2018,benchmark_q4_2018,10th_q4_2018,50th_q4_2018,90th_q4_2018
Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  1. Primary care wait time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    a. New primary care appointments completed within 30 days from preferred date,%,90.367,99.74,83.536,97.367,99.74,93.991,99.745,84.923,97.138,99.745,97.673,99.655,83.888,97.3,99.655,99.582,99.624,84.731,97.364,99.624,99.474,99.621,86.46,96.491,99.621,99.544,99.700,85.971,96.011,99.7,99.586,99.697,86.41,96.308,99.697,99.668,99.758,83.859,95.815,99.758,99.824,99.725,83.251,96.262,99.725,99.809,99.833,84.708,96.276,99.833,99.854,99.823,85.141,96.447,99.823,96.827,93.696,58.113,81.311,93.696,96.652,93.803,57.654,79.766,93.803,96.286,93.788,61.377,79.625,93.788,96.518,93.687,63.311,80.444,93.687,96.616,93.214,63.571,80.919,93.214
    b. PCMH Access composite,casemix adjusted %,38.434,53.8,32.078,42.025,53.8,50.556,52.372,32.065,43.111,52.372,42.252,53.653,31.67,41.787,53.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      i. Get an urgent care appointment as soon as needed,casemix adjusted %,41.454,59.919,30.553,45.549,59.919,47.357,56.676,33.595,46.249,56.676,48.843,61.209,33.894,45.866,61.209,45.211,56.45,34.826,46.163,56.45,51.310,62.791,37.243,50.861,62.791,48.827,60.297,36.448,50.133,60.297,48.193,59.990,36.637,50.133,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      ii. Get a routine care appointment as soon as needed,casemix adjusted %,51.982,66.284,41.417,54.364,66.284,56.953,64.422,42.47,55.229,64.422,48.138,64.497,44.019,54.719,64.497,51.749,63.866,43.762,55.492,63.866,59.868,69.907,48.034,59.212,69.907,57.279,68.158,47.052,57.821,68.158,56.064,67.361,47.215,58.308,67.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  2. Specialty care wait time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    a. New specialty care appointments completed within 30 days from preferred date,%,93.902,98.551,89.604,95.595,98.551,94.608,98.437,89.128,95.519,98.437,90.756,98.019,86.636,94.614,98.019,87.566,97.945,85.444,93.809,97.945,83.862,97.540,84.253,92.452,97.54,81.255,97.461,81.255,91.504,97.461,79.739,97.202,79.739,90.22,97.202,78.834,97.029,77.718,89.013,97.029,79.586,97.333,77.431,89.678,97.333,80.207,97.249,77.676,89.686,97.249,81.645,96.348,78.063,89.021,96.348,73.113,86.111,68.774,76.819,86.111,73.116,84.982,69.652,76.347,84.982,72.825,85.089,68.627,75.904,85.089,71.904,84.392,67.804,75.419,84.392,71.274,84.043,66.291,75.429,84.043
  3. Mental health wait time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    a. New mental health appointments completed within 30 days from preferred date,%,98.12,99.885,96.667,99.196,99.885,97.692,99.854,95.918,99.028,99.854,94.044,99.895,95.996,99.145,99.895,92.018,99.901,95.42,99.056,99.901,90.268,99.941,94.481,98.936,99.941,88.909,99.944,94.651,98.984,99.944,90.650,99.911,93.697,98.908,99.911,92.800,99.914,93.605,99.006,99.914,93.878,99.944,93.319,99.073,99.944,95.167,99.916,92.657,98.924,99.916,95.535,99.934,93.4,98.857,99.934,92.628,97.222,85.503,93.539,97.222,93.156,97.373,87.296,93.641,97.373,92.952,97.178,86.855,92.986,97.178,92.777,97.115,86.691,92.311,97.115,92.839,96.897,86.406,92.464,96.897
