Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,STTag,Score,Sample,Footnote,Measure Start Date,Measure End Date,Location
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,Minutes,342,682,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,190,680,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Preventive Care,IMM-2,Patients assessed and given influenza vaccination,Percentage,63,594,2 - Data submitted were based on a sample of cases/patients.,10/01/2016,03/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Heart Attack or Chest Pain,OP-1,Median Time to Fibrinolysis,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Heart Attack or Chest Pain,OP-4,Aspirin at Arrival,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Heart Attack or Chest Pain,OP-5,Median Time to ECG,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department,OP-20,Door to diagnostic eval,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Emergency Department,OP-21,Median time to pain med,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
10009F,BAY PINES VA MEDICAL CENTER,10000 BAY PINES BLVD.,BAY PINES,FL,33744,PINELLAS,7273986661,Blood Clot Prevention and Treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Percentage,Not Available,7,1 - The number of cases/patients is too few to report.,01/01/2017,12/31/2017,"10000 BAY PINES BLVD. BAY PINES, FL"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,Minutes,185,415,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,132,414,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Preventive Care,IMM-2,Patients assessed and given influenza vaccination,Percentage,89,299,2 - Data submitted were based on a sample of cases/patients.,10/01/2016,03/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Heart Attack or Chest Pain,OP-1,Median Time to Fibrinolysis,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Heart Attack or Chest Pain,OP-4,Aspirin at Arrival,Percentage,97,231,,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Heart Attack or Chest Pain,OP-5,Median Time to ECG,Minutes,7,251,,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,95,339,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department,OP-20,Door to diagnostic eval,Minutes,28,399,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department,OP-21,Median time to pain med,Minutes,74,12,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Emergency Department,OP-23,Head CT results,Percentage,Not Available,1,1 - The number of cases/patients is too few to report.,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
17008F,WICHITA VA MEDICAL CENTER,5500 E. KELLOG,WICHITA,KS,67218,SEDGWICK,3166852221,Blood Clot Prevention and Treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Percentage,Not Available,2,1 - The number of cases/patients is too few to report.,01/01/2017,12/31/2017,"5500 E. KELLOG WICHITA, KS"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Emergency Department,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,Minutes,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Preventive Care,IMM-2,Patients assessed and given influenza vaccination,Percentage,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,10/01/2016,03/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Heart Attack or Chest Pain,OP-1,Median Time to Fibrinolysis,Minutes,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Heart Attack or Chest Pain,OP-4,Aspirin at Arrival,Percentage,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Heart Attack or Chest Pain,OP-5,Median Time to ECG,Minutes,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Emergency Department,OP-20,Door to diagnostic eval,Minutes,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Emergency Department,OP-21,Median time to pain med,Minutes,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
21010F,VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT,VA MEDICAL CENTER,PERRY POINT,MD,21902,CECIL,4106422411,Blood Clot Prevention and Treatment,VTE-6,Hospital acquired potentially preventable venous thromboembolism,Percentage,Not Available,Not Available,24 - Results for this Veterans Health Administration (VHA) hospital are combined with those from the VHA administrative parent hospital that manages all points of service.,01/01/2017,12/31/2017,"VA MEDICAL CENTER PERRY POINT, MD"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Emergency Department,ED-1b,Median time from ED arrival to ED departure for admitted ED patients,Minutes,231,22,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,143,22,2 - Data submitted were based on a sample of cases/patients.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Preventive Care,IMM-2,Patients assessed and given influenza vaccination,Percentage,92,598,2 - Data submitted were based on a sample of cases/patients.,10/01/2016,03/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Heart Attack or Chest Pain,OP-1,Median Time to Fibrinolysis,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
24003F,MINNEAPOLIS VA MEDICAL CENTER,ONE VETERANS DRIVE,MINNEAPOLIS,MN,55417,HENNEPIN,6127252000,Heart Attack or Chest Pain,OP-4,Aspirin at Arrival,Percentage,Not Available,Not Available,7 - No cases met the criteria for this measure.,01/01/2017,12/31/2017,"ONE VETERANS DRIVE MINNEAPOLIS, MN"
